"","height.cm","height.in","bYear","dataset"
"1",169.619995117188,66.779525636688,1850,"GC"
"2",156.470001220703,61.6023626853162,1850,"GC"
"3",172.449996948242,67.8936995859221,1850,"GC"
"4",168.220001220703,66.2283469372847,1850,"GC"
"5",166.589996337891,65.586612731453,1850,"GC"
"6",160.300003051758,63.1102374219519,1850,"GC"
"7",160.529998779297,63.200786920983,1850,"GC"
"8",162.330001831055,63.9094495397853,1850,"GC"
"9",161.729995727539,63.6732266643855,1850,"GC"
"10",170.25,67.0275590551181,1850,"GC"
"11",174.679992675781,68.7716506597564,1850,"GC"
"12",154.839996337891,60.9606284794845,1850,"GC"
"13",168.419998168945,66.3070858932856,1850,"GC"
"14",163.759994506836,64.4724387822189,1850,"GC"
"15",163.160003662109,64.2362219142163,1850,"GC"
"16",165.160003662109,65.0236234890194,1850,"GC"
"17",162.529998779297,63.9881884957862,1850,"GC"
"18",146.550003051758,57.6968515951802,1850,"GC"
"19",156.869995117188,61.7598405973179,1850,"GC"
"20",164.759994506836,64.8661395696204,1850,"GC"
"21",161.130004882812,63.4370097963829,1850,"GC"
"22",164.759994506836,64.8661395696204,1850,"GC"
"23",179.369995117188,70.6181083138533,1850,"GC"
"24",172.25,67.8149606299213,1850,"GC"
"25",173.679992675781,68.3779498723548,1850,"GC"
"26",170.649993896484,67.1850369671198,1850,"GC"
"27",172.449996948242,67.8936995859221,1850,"GC"
"28",162.960006713867,64.1574829582154,1850,"GC"
"29",173.880004882812,68.456694835753,1850,"GC"
"30",158.100006103516,62.2440968911479,1850,"GC"
"31",174.479995727539,68.6929117037555,1850,"GC"
"32",161.330001831055,63.5157487523837,1850,"GC"
"33",175.940002441406,69.2677174966166,1850,"GC"
"34",149.979995727539,59.047242412417,1850,"GC"
"35",175.339996337891,69.0314946212168,1850,"GC"
"36",158.5,62.4015748031496,1850,"GC"
"37",163.559997558594,64.393699826218,1850,"GC"
"38",155.039993286133,61.0393674354854,1850,"GC"
"39",161.729995727539,63.6732266643855,1850,"GC"
"40",165.589996337891,65.1929119440514,1850,"GC"
"41",174.880004882812,68.8503956231545,1850,"GC"
"42",164.360000610352,64.7086616576187,1850,"GC"
"43",163.559997558594,64.393699826218,1850,"GC"
"44",159.100006103516,62.6377976785495,1850,"GC"
"45",166.789993286133,65.6653516874539,1850,"GC"
"46",161.929992675781,63.7519656203863,1850,"GC"
"47",175.940002441406,69.2677174966166,1850,"GC"
"48",162.529998779297,63.9881884957862,1850,"GC"
"49",169.220001220703,66.6220477246863,1850,"GC"
"50",163.759994506836,64.4724387822189,1850,"GC"
"51",176.139999389648,69.3464564526175,1850,"GC"
"52",167.589996337891,65.9803135188546,1850,"GC"
"53",161.529998779297,63.5944877083846,1850,"GC"
"54",166.789993286133,65.6653516874539,1850,"GC"
"55",156.470001220703,61.6023626853162,1850,"GC"
"56",159.699996948242,62.874014546552,1850,"GC"
"57",177.770004272461,69.9881906584492,1850,"GC"
"58",164.360000610352,64.7086616576187,1850,"GC"
"59",161.130004882812,63.4370097963829,1850,"GC"
"60",171.25,67.4212598425197,1850,"GC"
"61",163.160003662109,64.2362219142163,1850,"GC"
"62",179.369995117188,70.6181083138533,1850,"GC"
"63",166.389999389648,65.5078737754521,1850,"GC"
"64",168.619995117188,66.3858248492864,1850,"GC"
"65",175.740005493164,69.1889785406158,1850,"GC"
"66",164.960006713867,64.9448845330186,1850,"GC"
"67",161.330001831055,63.5157487523837,1850,"GC"
"68",171.449996948242,67.4999987985206,1850,"GC"
"69",171.850006103516,67.6574827179195,1850,"GC"
"70",166.589996337891,65.586612731453,1850,"GC"
"71",157.270004272461,61.9173245167169,1850,"GC"
"72",155.669998168945,61.2874008539155,1850,"GC"
"73",182,71.6535433070866,1850,"GC"
"74",169.419998168945,66.7007866806871,1850,"GC"
"75",169.020004272461,66.5433087686854,1850,"GC"
"76",163.759994506836,64.4724387822189,1850,"GC"
"77",177.770004272461,69.9881906584492,1850,"GC"
"78",170.850006103516,67.263781930518,1850,"GC"
"79",168.020004272461,66.1496079812838,1850,"GC"
"80",169.419998168945,66.7007866806871,1850,"GC"
"81",152.210006713867,59.9251994936485,1850,"GC"
"82",163.360000610352,64.3149608702171,1850,"GC"
"83",163.559997558594,64.393699826218,1850,"GC"
"84",177.970001220703,70.06692961445,1850,"GC"
"85",165.389999389648,65.1141729880506,1850,"GC"
"86",169.419998168945,66.7007866806871,1850,"GC"
"87",172.050003051758,67.7362216739204,1850,"GC"
"88",157.470001220703,61.9960634727178,1850,"GC"
"89",182.429992675781,71.8228317621186,1850,"GC"
"90",156.070007324219,61.4448847733145,1850,"GC"
"91",175.139999389648,68.9527556652159,1850,"GC"
"92",165.789993286133,65.2716509000523,1850,"GC"
"93",168.419998168945,66.3070858932856,1850,"GC"
"94",166.589996337891,65.586612731453,1850,"GC"
"95",157.270004272461,61.9173245167169,1850,"GC"
"96",158.5,62.4015748031496,1850,"GC"
"97",167.190002441406,65.8228356068528,1850,"GC"
"98",159.5,62.7952755905512,1850,"GC"
"99",160.729995727539,63.2795258769839,1850,"GC"
"100",162.960006713867,64.1574829582154,1850,"GC"
"101",160.729995727539,63.2795258769839,1850,"GC"
"102",159.5,62.7952755905512,1850,"GC"
"103",175.139999389648,68.9527556652159,1850,"GC"
"104",161.130004882812,63.4370097963829,1850,"GC"
"105",164.360000610352,64.7086616576187,1850,"GC"
"106",181,71.259842519685,1850,"GC"
"107",156.869995117188,61.7598405973179,1850,"GC"
"108",167.190002441406,65.8228356068528,1850,"GC"
